"id","ride_id","created_at","timezone","device_type","fitness_discipline","ride_title","status","total_work","avg_difficulty","ride_duration","ride_image_url","instructor_id","instructor_name","distance","total_output","avg_pace","avg_speed","avg_output","avg_cadence","avg_resistance"
"bc9a75100e31424a8640ed653a3cda19","8cb28c14a6474b41b5ffe488c3a0d648",2022-03-27 04:41:00,"America/Mazatlan","iPhone","Strength","30 min Upper Body Strength","COMPLETE",0,7.2983,1800,"https://s3.amazonaws.com/peloton-ride-images/3652952a3c714e5a2b9769079ec8cddfde9e7e04/img_1616677490_f6feb35e651a46ea9d42c38c3b5cc60a.png","a606b2c39c194bcc80f9a541b97b4537","Matty Maggiacomo",NA,NA,NA,NA,NA,NA,NA
"62a03d9614d14b569849678ada3ff3bf","454bcd6b0728401b9fe59aeae2cf3676",2022-03-26 05:06:00,"America/Mazatlan","iPhone","Strength","10 min Core Strength","COMPLETE",0,7.4439,600,"https://s3.amazonaws.com/peloton-ride-images/3f5859f1db17ed56913b97303aa1b7aeb4b65a27/img_1610547634_8f6def04ed9a44ff80b0370fb6218439.png","05735e106f0747d2a112d32678be8afd","Olivia Amato",NA,NA,NA,NA,NA,NA,NA
"880107ac6afe44849cae5d0155a11b3d","29c9b2d7092c402f8ef19ba5edde3a0a",2022-03-26 04:38:00,"America/Mazatlan","iPhone","Strength","20 min Hip Hop Upper Body Strength","COMPLETE",0,6.5138,1200,"https://s3.amazonaws.com/peloton-ride-images/60996b2e59f6a4363a513855be877a7578ca0e44/img_1647527520_2dd6d88a67834ce0b86f06ee072127d5.png","f962a2b1b34d424cabab73bef81bc8db","Adrian Williams",NA,NA,NA,NA,NA,NA,NA
"7f46a74488f145c097972ea9c5382928","b4f3e114e2bd47fdab0161b28f232bdd",2022-03-26 04:10:00,"America/Mazatlan","iPhone","Walking","20 min Walk + Run","COMPLETE",0,6.369,1200,"https://s3.amazonaws.com/peloton-ride-images/9d45f5ddb052c1c671a2e8c9f694100682973574/img_1639595676_366be1b5b00f4f0f91495b96bb1f6158.png","1b79e462bd564b6ca5ec728f1a5c2af0","Jess Sims",NA,NA,NA,NA,NA,NA,NA
"4eae7862f8a2413884f224ef7bf663e3","afd0ba1c5c3a4f3687f577220adff7d8",2022-03-24 13:43:00,"Etc/GMT+4","home_bike_plus","Cycling","15 min Pop Ride","COMPLETE",146382.25,7.583,900,"https://s3.amazonaws.com/peloton-ride-images/07306bbccbc64a0ff9f5a766adf68627842f6321/img_1643637391_44dd0f6452614af2bae2c1514761ee03.png","05735e106f0747d2a112d32678be8afd","Olivia Amato",4.89,146,NA,19.6,163,85,44
"1de35267cb9d43ca871c60c136fe9818","83e5fd2ca56c4c989dce9e6081909f5f",2022-03-24 13:31:00,"Etc/GMT+4","home_bike_plus","Strength","10 min Core Strength","COMPLETE",0,7.2654,600,"https://s3.amazonaws.com/peloton-ride-images/86dfdab1c8b09861290bd6e11563cda7220e4983/img_1631626281_624c0fac56374c7fa17f9302270ac609.png","05735e106f0747d2a112d32678be8afd","Olivia Amato",NA,NA,NA,NA,NA,NA,NA
"5663dff54e364cf6b07bb941b5723f24","52cbe3f229ce45b792469e4c5bf6b329",2022-03-24 13:09:00,"Etc/GMT+4","home_bike_plus","Strength","20 min Arms & Shoulders Strength","COMPLETE",0,7.1002,1200,"https://s3.amazonaws.com/peloton-ride-images/e5b7314cbeec13707504ef122109a671711b79ad/img_1636623460_a1183534d8a242bd885f4015ef924fa9.png","7f3de5e78bb44d8591a0f77f760478c3","Ben Alldis",NA,NA,NA,NA,NA,NA,NA
"9b7165708ebe4dcbba101fee36951d47","2322cb2595cc4741acde0fd1ca1d0a72",2022-03-22 03:52:00,"Etc/GMT+4","home_bike_plus","Bike Bootcamp","30 min 2010s Bootcamp","COMPLETE",114846.68,7.8745,1800,"https://s3.amazonaws.com/peloton-ride-images/4da109341ab16c23d2afec8afe6fa5a3f984a941/img_1647621373_ba6243c6b24842feb47fbaa5c7425505.png","c9bd86e59b9b4f96981848467838aa9c","Tunde Oyeneyin",NA,NA,NA,NA,NA,NA,NA
"0153b04783204989938125a797ea6f9d","b1a580676a2842389e4ff03bff925670",2022-03-21 13:38:00,"Etc/GMT+4","home_bike_plus","Cycling","5 min Cool Down Ride","COMPLETE",37727.63,4.2225,300,"https://s3.amazonaws.com/peloton-ride-images/71346fff860254cef4b2ff7d8d16953717de49d0/img_1643638440_2a5f950f73ca41b9b76d3084b614c73d.jpeg","05735e106f0747d2a112d32678be8afd","Olivia Amato",1.47,38,NA,17.6,126,78,42
"b00176c571754d299c56e45f481e38c6","ae0932d20a8647e2aee98422d7cbfd55",2022-03-21 13:19:00,"Etc/GMT+4","home_bike_plus","Cycling","15 min EDM Ride","COMPLETE",141634.79,7.2343,900,"https://s3.amazonaws.com/peloton-ride-images/b3c9f0b33e22306b101c8fa949b5016851c99efa/img_1646922620_28e95af303e9459e83c807274ef3d9c5.png","4904612965164231a37143805a387e40","Kendall Toole",4.84,142,NA,19.4,157,81,45
"674fff39547a4df0beb82341621ad980","389b7cc365e8438cb90b3552ca89fd82",2022-03-21 13:00:00,"Etc/GMT+4","home_bike_plus","Strength","10 min Core Strength","COMPLETE",0,6.8991,600,"https://s3.amazonaws.com/peloton-ride-images/09be27a6891b327d7bc33033e9e936551db92752/img_1627424651_9f9bc31a4ed2499d95fb7afff9efc537.jpg","f6f2d613dc344e4bbf6428cd34697820","Emma Lovewell",NA,NA,NA,NA,NA,NA,NA
"e75a984e3791423f8a300f731454a976","b4cde33251f141dcb7b7d535ec879adc",2022-03-21 12:38:00,"Etc/GMT+4","home_bike_plus","Strength","20 min Arms & Shoulders Strength","COMPLETE",0,7.0291,1200,"https://s3.amazonaws.com/peloton-ride-images/bca49a993abdf073dc5a4cec87381c3cf1d54b40/img_1645619500_157845a6219f42d2973ca1cec73994bc.png","7f3de5e78bb44d8591a0f77f760478c3","Ben Alldis",NA,NA,NA,NA,NA,NA,NA
"001db114cbc144bebc696f99cd3b4a37","ef554f4e81094d74b2a6f83d0cd957bb",2022-03-17 04:29:00,"Etc/GMT+4","home_bike_plus","Strength","15 min WHM Core Strength: Power Stack","COMPLETE",0,6.7835,900,"https://s3.amazonaws.com/peloton-ride-images/69ecefed80715f0c93924f3b6281e81ca0b7c781/img_1646696204_b2689aaeb24c49dd8438d0d721d52a13.png","f6f2d613dc344e4bbf6428cd34697820","Emma Lovewell",NA,NA,NA,NA,NA,NA,NA
